Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
11;10;TOFAŞ Türk Otomobil Fabrikası A.Ş.;2023;78.054.421.270;11;109.201.464.895;11;10;27.966.460.194;7;7;36.106.913.777;28;25;66.236.243.512;22;20;18.739.160.966;7;6;22.165.919.218;5;5;884.760;17;16;5.653;22;20;İstanbul Sanayi Odası;-;37,86;37,86;24,28;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.tofas.com.tr;İstanbul;Şişli;Büyükdere Cad. Tofaş Han No.145 Zincirlikuyu;(212) 2753390;-;tofas@tofas.com.tr;34394
12;6;İskenderun Demir ve Çelik A.Ş.;2023;76.858.902.029;12;76.958.920.583;15;14;10.664.584.507;24;22;72.748.338.149;12;10;115.782.874.983;15;13;10.413.674.236;16;13;16.482.647.855;9;9;312.132;52;50;4.553;37;34;İskenderun Ticaret ve Sanayi Odası;-;94,87;-;5,13;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.isdemir.com.tr;Hatay;İskenderun;Karşı Mah. Şehit Yüzbaşı Ali Oğuz Bulvarı No.1 Payas;(326) 7584040;(326) 7583409;info@isdemir.com.tr;31900
13;16;Hyundai Assan Otomotiv San. ve Tic. A.Ş.;2023;74.337.963.000;13;88.756.828.811;14;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;3,00;97,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.hyundai.com.tr;İstanbul;Maltepe;Aydınevler Mah. Sanayi Cad. No:32 İç Kapı No:20 ;(216) 5716363;-;accounting@hyundaiassan.com.tr;34840
14;13;Çolakoğlu Metalurji A.Ş.;2023;61.369.393.529;14;61.369.393.529;17;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300.931;59;57;1.587;149;138;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.colakoglu.com.tr;İstanbul;Beykoz;Rüzgarlıbahçe Mah. Çam Pınarı Sok. No.1 İç Kapı No.16 Kavacık;(216) 6812600;(216) 6812401;muhasebe@colakoglu.com.tr;34805
15;11;EÜAŞ Elektrik Üretim A.Ş.;2023;61.037.232.627;1;155.660.774.911;5;1;16.363.497.155;17;2;195.550.127.390;2;1;250.628.760.840;4;2;13.737.412.650;9;3;15.556.856.745;11;2;-;-;-;5.621;23;3;Kamu;100,00;-;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.euas.gov.tr;Ankara;Çankaya;Mustafa Kemal Mah. Dumlupınar Bulvarı 7. km. No.166;(312) 2955000;-;basinhalk@euas.gov.tr;06510
16;14;Türkiye Şişe ve Cam Fabrikaları A.Ş.;2023;58.510.196.261;15;60.807.253.089;18;17;18.136.760.336;13;12;114.101.402.532;6;4;189.281.662.770;7;5;2.671.114.380;58;54;14.436.233.307;13;11;889.311;15;14;10.160;5;5;İstanbul Sanayi Odası;-;51,08;-;48,92;Diğer metalik olmayan mineral ürünlerin imalatı;23;Cam ve Camdan Mamul Eşya Sanayi;362;www.sisecam.com;İstanbul;Tuzla;İçmeler Mah. D-100 Karayolu Cad. No.44/A;(850) 2065050;-;info@sisecam.com;34947
17;30;TUSAŞ-Türk Havacılık ve Uzay Sanayii A.Ş.;2023;55.183.358.122;16;56.732.429.014;20;19;20.549.393.453;11;11;57.470.109.636;13;11;191.425.503.864;6;4;-6.965.589.027;498;485;20.335.363.513;6;6;888.585;16;15;14.763;3;3;Ankara Sanayi Odası;45,45;54,55;-;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.tai.com.tr;Ankara;Kahramankazan;Fethiye Mah. Havacılık Bulvarı No.17 Akıncı;(312) 8111800;-;butce@tai.com.tr;06980
18;12;İçdaş Çelik Enerji Tersane ve Ulaşım Sanayi A.Ş.;2023;54.554.498.288;17;55.984.773.555;21;20;3.526.233.027;101;94;28.343.099.679;32;29;42.319.832.298;40;36;1.614.047.046;97;91;3.654.077.596;63;60;662.840;25;24;5.198;25;22;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.icdas.com.tr;İstanbul;Bağcılar;Mahmutbey Mah. Dilmenler Cad. No.20;(212) 6040404;-;icdas@icdas.com.tr;34218
19;20;Aselsan Elektronik San. ve Tic. A.Ş.;2023;53.625.427.894;18;53.650.444.747;24;22;30.664.830.486;6;6;78.948.159.711;10;8;171.202.937.480;9;7;11.874.087.579;13;10;19.687.328.646;7;7;196.365;104;101;9.718;7;7;Ankara Sanayi Odası;-;74,20;-;25,80;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Mesleki, Bilimsel, Sağlık Amaçlı Aletler ve Malzemeler Sanayi;385;www.aselsan.com.tr;Ankara;Yenimahalle;Mehmet Akif Ersoy Mah. İstiklal Marşı. Cad. No.16;(312) 5926000;-;aselsanir@aselsan.com.tr;06200
20;19;Vestel Beyaz Eşya San. ve Tic. A.Ş.;2023;51.201.136.734;19;57.249.659.486;19;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;68,53;-;31,47;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.vestel.com.tr;Manisa;Yunusemre;Manisa OSB III. Kısım Keçiliköyosb Mah. Mustafa Kemal Bulvarı No.10;(236) 2263000;(236) 2263014;vestelbeyazesya.vergidairesi@vestel.com.tr;45030
21;17;Tosçelik Profil ve Sac Endüstrisi A.Ş.;2023;48.466.619.474;20;55.393.208.601;22;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İskenderun Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.tosyaliholding.com.tr;Hatay;İskenderun;Organize Sanayi Bölgesi Necati Özsoy Cad. No.12 Sarıseki;(326) 6562890;-;toscelik@toscelik.com.tr;31217
22;23;BSH Ev Aletleri San. ve Tic. A.Ş.;2023;46.373.169.756;21;65.811.033.126;16;15;-;-;-;20.537.509.706;47;43;38.790.549.531;45;40;-;-;-;-;-;-;1.012.304;12;12;8.389;8;8;İstanbul Sanayi Odası;-;-;99,99;0,01;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.bsh-group.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. No.51;(216) 5289000;(216) 5289313;kurumsal.iletisim@bshg.com;34771
23;21;Türkiye Petrolleri Anonim Ortaklığı;2023;46.281.732.965;2;53.697.555.599;23;2;6.569.348.412;48;4;149.461.344.570;4;2;253.865.164.999;3;1;20.479.901.202;5;1;879.188.174;287;9;-;-;-;3.582;54;6;Kamu;100,00;-;-;-;Ham petrol ve doğal gaz çıkarımı;06;"Madencilik ve Taşocakçılığı
";210;www.tpao.gov.tr;Ankara;Çankaya;Söğütözü Mah. Nizami Gencevi Cad. No.10;(312) 2072000;(312) 2072993;tpao@tpao.gov.tr;06530
24;18;Eren Enerji Elektrik Üretim A.Ş.;2023;41.577.004.564;22;42.452.175.863;28;26;-;-;-;-;-;-;53.881.734.747;29;27;-;-;-;-;-;-;-;-;-;1.334;176;165;Zonguldak Ticaret ve Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.erenholding.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C-2 A/26;(216) 6063737;-;info@erenenerji.com.tr;34758
25;27;Aygaz A.Ş.;2023;40.421.073.258;23;46.388.028.810;27;25;9.070.153.987;29;27;30.899.420.546;29;26;37.766.254.958;47;42;3.159.532.779;46;43;2.158.812.200;126;123;224.053;95;92;1.244;191;180;İstanbul Sanayi Odası;-;75,73;-;24,27;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19;Petrol Ürünleri Sanayi;353;www.aygaz.com.tr;İstanbul;Şişli;Büyükdere Cad. No.145/1 Aygaz Han Zincirlikuyu;(212) 3541515;(212) 3541775;kurumsaliletisim@aygaz.com.tr;34394
26;28;KARDEMİR Karabük Demir Çelik San. ve Tic. A.Ş.;2023;38.466.957.766;24;38.466.957.766;30;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Karabük Ticaret ve Sanayi Odası;-;-;-;100,00;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.kardemir.com;Karabük;Merkez;Öğlebeli Mah. Karabük Ankara Yolu Fabrika Sahası No.1;(370) 4183244;(370) 4182344;iletisim@kardemir.com;78170
27;32;Yıldız Entegre Ağaç San. ve Tic. A.Ş.;2023;38.024.972.866;25;38.350.344.946;31;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16;Ağaç ve Mantar Ürünleri Sanayi;331;www.yildizentegre.com.tr;Kocaeli;Kartepe;Arslanbey OSB Mah. 1. Cad. No.13;(262) 3166100;(262) 3166200;info@yildizentegre.com.tr;41285
28;47;Türk Traktör ve Ziraat Makineleri A.Ş.;2023;38.001.964.485;26;47.822.820.747;25;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;37,50;37,50;25,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.turktraktor.com.tr;Ankara;Yenimahalle;Gazi Mah. Anadolu Bulvarı No.52-52A;(312) 2333333;-;turktraktor@turktraktor.com.tr;06560
29;22;Sasa Polyester Sanayi A.Ş.;2023;36.474.550.838;27;36.474.550.838;34;32;6.925.477.350;44;41;48.868.153.322;17;15;130.639.574.961;11;9;-2.346.418.156;484;472;5.926.200.144;36;34;340.513;45;43;4.420;38;35;Adana Sanayi Odası;-;51,00;-;49,00;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.sasa.com.tr;Adana;Seyhan;Sarıhamzalı Mah. Turhan Cemal Beriker Bulvarı No.559;(322) 4410053;(537) 4422604;info@sasa.com.tr;01355
30;25;PETKİM Petrokimya Holding A.Ş.;2023;35.920.234.122;28;47.724.024.717;26;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;51,00;-;49,00;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.petkim.com.tr;İzmir;Aliağa;Siteler Mah. Necmettin Giritlioğlu Cad. Dış Kapı No.6;(232) 6161240;(232) 6163240;petkim@petkim.com.tr;35800
31;26;Borçelik Çelik San. Tic. A.Ş.;2023;34.712.999.462;29;36.798.715.316;33;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;50,00;50,00;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.borcelik.com;İstanbul;Beyoğlu;Pürtelaş Hasan Mah. Meclisi Mebusan Cad. No.37 Salıpazarı;(224) 2804000;-;brckkurumsaliletisim@borcelik.com;34427
32;29;Sarkuysan Elektrolitik Bakır San. ve Tic. A.Ş.;2023;34.055.329.781;30;34.390.011.341;36;34;4.443.069.644;74;68;6.272.854.986;154;145;14.669.794.936;130;123;1.700.270.310;89;83;4.022.294.838;54;51;686.864;24;23;858;271;258;Kocaeli Sanayi Odası;-;-;-;100,00;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.sarkuysan.com;Kocaeli;Darıca;Emek Mah. Aşıroğlu Cad. No.147;(262) 6766600;(262) 6766672;muhasebe@sarkuysan.com;41700
33;40;Unilever San. ve Tic. T.A.Ş.;2023;33.987.125.701;31;38.237.697.155;32;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97.060;215;212;-;-;-;İstanbul Sanayi Odası;-;0,01;99,99;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.unilever.com.tr;İstanbul;Ümraniye;İnkılap Mah. Dr. Adnan Büyükdeniz Cad. No.13;(216) 6339000;-;info.tr@unilever.com;34768
34;43;Eti Gıda San. ve Tic. A.Ş.;2023;33.469.916.382;32;34.454.017.978;35;33;-;-;-;-;-;-;28.797.535.328;64;59;-;-;-;-;-;-;194.657;105;102;-;-;-;Eskişehir Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.etietieti.com;Eskişehir;Tepebaşı;Hoşnudiye Mah. Kızılcıklı Mahmut Pehlivan Cad. No.11 ;(222) 2212000;-;info@etigida.com.tr;-
35;38;Vestel Elektronik San. ve Tic. A.Ş.;2023;32.538.073.036;33;32.756.209.668;38;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;55,69;-;44,31;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.vestel.com.tr;İstanbul;Şişli;Levent 199 Büyükdere Cad. No.199;(212) 4563456;-;info@vestel.com.tr;34394
36;34;Er-Bakır Elektrolitik Bakır Mamulleri A.Ş.;2023;28.679.862.067;34;28.770.836.011;42;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;709.626;23;22;784;287;274;Denizli Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.erbakir.com.tr;Denizli;Merkezefendi;Bozburun Mah. Ahmet Nuri Erikoğlu Cad. No.29;(258) 2951900;(258) 2951900;erbakir@erbakir.com.tr;20085
37;24;Enerjisa Enerji Üretim A.Ş.;2023;28.411.309.737;35;34.335.587.091;37;35;-;-;-;-;-;-;120.589.320.334;14;12;-;-;-;-;-;-;-;-;-;948;252;239;Kocaeli Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.enerjisauretim.com.tr;İstanbul;Ataşehir;Ağaoğlu My Office Barbaros Mah. Çiğdem Sok. No.1;(216) 5124000;(216) 5124000;mim@enerjisauretim.com;34750
38;37;Yücel Boru ve Profil Endüstrisi A.Ş.;2023;28.041.172.864;36;28.850.908.833;40;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.yucelboru.com.tr;İstanbul;Kadıköy;Rıhtım Cad. No.44 ;(216) 4181000;(262) 6486800;muhasebe@yucelboru.com.tr;34716
39;51;Hayat Kimya Sanayi A.Ş.;2023;26.247.558.998;37;30.339.164.370;39;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.169;104;94;İstanbul Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.hayat.com.tr;İstanbul;Üsküdar;Mahir İz Cad. No.25 Altunizade;(539) 7954943;(216) 5544238;hayat@hayat.com.tr;34662
40;33;Eti Maden İşletmeleri Genel Müdürlüğü;2023;26.173.707.649;3;26.174.345.026;43;3;18.720.801.352;12;1;42.061.518.347;21;3;46.961.110.585;37;4;18.083.427.695;8;2;16.448.368.826;10;1;942.108;13;1;4.207;41;4;Kamu;100,00;-;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.etimaden.gov.tr;Ankara;Çankaya;Kızılırmak Mah. 1443. Cad. No.5;(312) 2942000;-;etimaden@etimaden.gov.tr;06530
41;52;Kastamonu Entegre Ağaç San. ve Tic. A.Ş.;2023;24.322.741.610;38;25.042.761.320;47;44;-;-;-;-;-;-;79.989.395.154;19;17;-;-;-;-;-;-;279.416;66;64;3.602;52;47;İstanbul Sanayi Odası;-;100,00;-;-;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16;Ağaç ve Mantar Ürünleri Sanayi;331;www.keas.com.tr;İstanbul;Üsküdar;Altunizade Mah. Kısıklı Cad. No.13;(216) 5543000;-;info@keas.com.tr;34662
42;-;Türkiye'nin Otomobili Girişim Grubu San. ve Tic. A.Ş.;2023;24.264.132.554;39;24.345.916.198;50;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gemlik Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.togg.com.tr;Kocaeli;Gebze;Muallimköy Mah. Deniz Cad. No:143/1 Pk:41100;(850) 8333345;-;muhasebe@togg.com.tr;41400
43;60;Coca-Cola İçecek A.Ş.;2023;24.028.083.168;40;24.156.367.574;52;49;-2.883.089.401;498;485;40.064.755.948;23;20;73.265.949.226;21;19;6.047.658.379;26;23;3.833.973.507;58;55;4.860;431;424;1.633;143;132;İstanbul Sanayi Odası;-;51,05;20,09;28,86;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.cci.com.tr;İstanbul;Ümraniye;Dudullu OSB Mah. Deniz Feneri Sok. No.4;(216) 5284000;(216) 5284000;cci.vergi@cci.com.tr;34776
44;55;Bosch San. ve Tic. A.Ş.;2023;23.770.380.337;41;42.434.460.531;29;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.031.545;11;11;7.886;10;10;Bursa Ticaret ve Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.bosch.com.tr;Bursa;Nilüfer;Minareliçavuş Bursa OSB Mah. Yeşil Cad. No.15;(224) 2192332;(532) 3206657;mailbox.det4@tr.bosch.com;16140
45;48;Kroman Çelik Sanayii A.Ş.;2023;23.551.133.475;42;28.838.977.277;41;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.kromancelik.com.tr;Kocaeli;Darıca;Emek Mah. Aşıroğlu Cad. No.155 ;(262) 6792000;(262) 6792000;muhasebe@kromancelik.com.tr;41400
46;39;Assan Alüminyum San. ve Tic. A.Ş.;2023;23.537.455.745;43;24.817.911.905;48;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.assan.com.tr;İstanbul;Tuzla;Yayla Mah. D-100 Karayolu Rüya Sok. No.2;(216) 5811200;(216) 5811517;info@assanaluminyum.com;34940
