Yaş,İşten Ayrılma,İş Seyahati,Günlük Ücret,Departman,Evden Uzaklık,Eğitim Seviyesi,Eğitim Alanı,Çalışan Sayısı,Sicil No,Çevresel Memnuniyet,Cinsiyet,Saat Ücreti,İşe Katılım,İş Seviyesi,İş Rolü,İş Memnuniyeti,Medeni Durum,Aylık Gelir,Aylık Ücret,Daha Önce Çalışılan İşyeri Sayısı,Fazla Mesai,Ücret Artış Yüzdesi,Performans Skoru,İş Arkadaşlarından  Memnuniyeti,Standart Çalışma Saati,Hisse Seçeneği Seviyesi,Kıdem,Geçen Yıl Katılınan Eğitim Sayısı,İş-Yaşam Dengesi Skoru,Şirketteki Kıdemi,Mevcut Pozisyonda Geçen Yıl,Son Terfiden Bu Yana Geçen Yıl,Mevcut Yöneticiyle Geçen Yıl
30,Hayır,Seyrek Seyahat,125,Araştırma ve Geliştirme,9,2,Tıp,1,41,4,Erkek,83,2,1,Laboratuvar Teknikeri,3,Bekar,2206,16117,1,Hayır,13,3,1,80,0,10,5,3,10,0,1,8
39,Evet,Seyrek Seyahat,895,Satış,5,3,Mühendislik,1,42,4,Erkek,56,3,2,Satış Temsilcisi,4,Evli,2086,3335,3,Hayır,14,3,3,80,1,19,6,4,1,0,0,0
24,Evet,Seyrek Seyahat,813,Araştırma ve Geliştirme,1,3,Tıp,1,45,2,Erkek,61,3,1,Araştırma Bilimcisi,4,Evli,2293,3020,2,Evet,16,3,1,80,1,6,2,2,2,0,2,0
43,Hayır,Seyrek Seyahat,1273,Araştırma ve Geliştirme,2,2,Tıp,1,46,4,Kadın,72,4,1,Araştırma Bilimcisi,3,Boşanmış,2645,21923,1,Hayır,12,3,4,80,2,6,3,2,5,3,1,4
50,Evet,Seyrek Seyahat,869,Satış,3,2,Pazarlama,1,47,1,Erkek,86,2,1,Satış Temsilcisi,3,Evli,2683,3810,1,Evet,14,3,3,80,0,3,2,3,3,2,0,2
35,Hayır,Seyrek Seyahat,890,Satış,2,3,Pazarlama,1,49,4,Kadın,97,3,1,Satış Temsilcisi,4,Evli,2014,9687,1,Hayır,13,3,1,80,0,2,3,3,2,2,2,2
36,Hayır,Seyrek Seyahat,852,Araştırma ve Geliştirme,5,4,Fen Bilimleri,1,51,2,Kadın,82,2,1,Araştırma Bilimcisi,1,Evli,3419,13072,9,Evet,14,3,4,80,1,6,3,4,1,1,0,0
33,Hayır,Sık Seyahat,1141,Satış,1,3,Fen Bilimleri,1,52,3,Kadın,42,4,2,Satış Yöneticisi,1,Evli,5376,3193,2,Hayır,19,3,1,80,2,10,3,3,5,3,1,3
35,Hayır,Seyrek Seyahat,464,Araştırma ve Geliştirme,4,2,Diğer,1,53,3,Erkek,75,3,1,Laboratuvar Teknikeri,4,Boşanmış,1951,10910,1,Hayır,12,3,3,80,1,1,3,3,1,0,0,0
27,Hayır,Seyrek Seyahat,1240,Araştırma ve Geliştirme,2,4,Fen Bilimleri,1,54,4,Kadın,33,3,1,Laboratuvar Teknikeri,1,Boşanmış,2341,19715,1,Hayır,13,3,4,80,1,1,6,3,1,0,0,0
26,Evet,Seyrek Seyahat,1357,Araştırma ve Geliştirme,25,3,Fen Bilimleri,1,55,1,Erkek,48,1,1,Laboratuvar Teknikeri,3,Bekar,2293,10558,1,Hayır,12,3,3,80,0,1,2,2,1,0,0,1
27,Hayır,Sık Seyahat,994,Satış,8,3,Fen Bilimleri,1,56,4,Erkek,37,3,3,Satış Yöneticisi,3,Bekar,8726,2975,1,Hayır,15,3,4,80,0,9,0,3,9,8,1,7
30,Hayır,Sık Seyahat,721,Araştırma ve Geliştirme,1,2,Tıp,1,57,3,Kadın,58,3,2,Laboratuvar Teknikeri,4,Bekar,4011,10781,1,Hayır,23,4,4,80,0,12,2,3,12,8,3,7
41,Evet,Seyrek Seyahat,1360,Araştırma ve Geliştirme,12,3,Mühendislik,1,58,2,Kadın,49,3,5,Araştırma Direktörü,3,Evli,19545,16280,1,Hayır,12,3,4,80,0,23,0,3,22,15,15,8
34,Hayır,Seyahat Etmez,1065,Satış,23,4,Pazarlama,1,60,2,Erkek,72,3,2,Satış Yöneticisi,3,Bekar,4568,10034,0,Hayır,20,4,3,80,0,10,2,3,9,5,8,7
37,Hayır,Seyrek Seyahat,408,Araştırma ve Geliştirme,19,2,Fen Bilimleri,1,61,2,Erkek,73,3,1,Araştırma Bilimcisi,2,Evli,3022,10227,4,Hayır,21,4,1,80,0,8,1,3,1,0,0,0
46,Hayır,Sık Seyahat,1211,Satış,5,4,Pazarlama,1,62,1,Erkek,98,3,2,Satış Yöneticisi,4,Bekar,5772,20445,4,Evet,21,4,3,80,0,14,4,3,9,6,0,8
35,Hayır,Seyrek Seyahat,1229,Araştırma ve Geliştirme,8,1,Fen Bilimleri,1,63,4,Erkek,36,4,1,Laboratuvar Teknikeri,4,Evli,2269,4892,1,Hayır,19,3,4,80,0,1,2,3,1,0,0,1
48,Evet,Seyrek Seyahat,626,Araştırma ve Geliştirme,1,2,Fen Bilimleri,1,64,1,Erkek,98,2,3,Laboratuvar Teknikeri,3,Bekar,5381,19294,9,Evet,13,3,4,80,0,23,2,3,1,0,0,0
28,Evet,Seyrek Seyahat,1434,Araştırma ve Geliştirme,5,4,Mühendislik,1,65,3,Erkek,50,3,1,Laboratuvar Teknikeri,3,Bekar,3441,11179,1,Evet,13,3,3,80,0,2,3,2,2,2,2,2
44,Hayır,Seyrek Seyahat,1488,Satış,1,5,Pazarlama,1,68,2,Kadın,75,3,2,Satış Yöneticisi,1,Boşanmış,5454,4009,5,Evet,21,4,3,80,1,9,2,2,4,3,1,3
35,Hayır,Seyahat Etmez,1097,Araştırma ve Geliştirme,11,2,Tıp,1,70,3,Erkek,79,2,3,Sağlık Temsilcisi,1,Evli,9884,8302,2,Evet,13,3,3,80,1,10,3,3,4,0,2,3
26,Hayır,Seyrek Seyahat,1443,Satış,23,3,Pazarlama,1,72,3,Kadın,47,2,2,Satış Yöneticisi,4,Evli,4157,21436,7,Evet,19,3,3,80,1,5,2,2,2,2,0,0
33,Hayır,Sık Seyahat,515,Araştırma ve Geliştirme,1,2,Fen Bilimleri,1,73,1,Kadın,98,3,3,Araştırma Direktörü,4,Bekar,13458,15146,1,Evet,12,3,3,80,0,15,1,3,15,14,8,12
35,Hayır,Sık Seyahat,853,Satış,18,5,Fen Bilimleri,1,74,2,Erkek,71,3,3,Satış Yöneticisi,1,Evli,9069,11031,1,Hayır,22,4,4,80,1,9,3,2,9,8,1,8
35,Hayır,Seyrek Seyahat,1142,Araştırma ve Geliştirme,23,4,Tıp,1,75,3,Kadın,30,3,1,Laboratuvar Teknikeri,1,Evli,4014,16002,3,Evet,15,3,3,80,1,4,3,3,2,2,2,2
31,Hayır,Seyrek Seyahat,655,Araştırma ve Geliştirme,7,4,Fen Bilimleri,1,76,4,Erkek,48,3,2,Laboratuvar Teknikeri,4,Boşanmış,5915,9528,3,Hayır,22,4,4,80,1,10,3,2,7,7,1,7
37,Hayır,Seyrek Seyahat,1115,Araştırma ve Geliştirme,1,4,Fen Bilimleri,1,77,1,Erkek,51,2,2,Üretim Direktörü,3,Boşanmış,5993,2689,1,Hayır,18,3,3,80,1,7,2,4,7,5,0,7
32,Hayır,Seyrek Seyahat,427,Araştırma ve Geliştirme,1,3,Tıp,1,78,1,Erkek,33,3,2,Üretim Direktörü,4,Evli,6162,10877,1,Evet,22,4,2,80,1,9,3,3,9,8,7,8
38,Hayır,Sık Seyahat,653,Araştırma ve Geliştirme,29,5,Fen Bilimleri,1,79,4,Kadın,50,3,2,Laboratuvar Teknikeri,4,Bekar,2406,5456,1,Hayır,11,3,4,80,0,10,2,3,10,3,9,9
50,Hayır,Seyrek Seyahat,989,Araştırma ve Geliştirme,7,2,Tıp,1,80,2,Kadın,43,2,5,Araştırma Direktörü,3,Boşanmış,18740,16701,5,Evet,12,3,4,80,1,29,2,2,27,3,13,8
59,Hayır,Seyrek Seyahat,1435,Satış,25,3,Fen Bilimleri,1,81,1,Kadın,99,3,3,Satış Yöneticisi,1,Bekar,7637,2354,7,Hayır,11,3,4,80,0,28,3,2,21,16,7,9
36,Hayır,Seyrek Seyahat,1223,Araştırma ve Geliştirme,8,3,Mühendislik,1,83,3,Kadın,59,3,3,Sağlık Temsilcisi,3,Boşanmış,10096,8202,1,Hayır,13,3,2,80,3,17,2,3,17,14,12,8
55,Hayır,Seyrek Seyahat,836,Araştırma ve Geliştirme,8,3,Tıp,1,84,4,Kadın,33,3,4,Yönetici,3,Boşanmış,14756,19730,2,Evet,14,3,3,80,3,21,2,3,5,0,0,2
36,Hayır,Sık Seyahat,1195,Araştırma ve Geliştirme,11,3,Fen Bilimleri,1,85,2,Erkek,95,2,2,Üretim Direktörü,2,Bekar,6499,22656,1,Hayır,13,3,3,80,0,6,3,3,6,5,0,3
45,Hayır,Seyrek Seyahat,1339,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,86,2,Erkek,59,3,3,Araştırma Bilimcisi,1,Boşanmış,9724,18787,2,Hayır,17,3,3,80,1,25,2,3,1,0,0,0
35,Hayır,Sık Seyahat,664,Araştırma ve Geliştirme,1,3,Tıp,1,88,2,Erkek,79,3,1,Araştırma Bilimcisi,1,Evli,2194,5868,4,Hayır,13,3,4,80,1,5,2,2,3,2,1,2
36,Evet,Seyrek Seyahat,318,Araştırma ve Geliştirme,9,3,Tıp,1,90,4,Erkek,79,2,1,Araştırma Bilimcisi,3,Evli,3388,21777,0,Evet,17,3,1,80,1,2,0,2,1,0,0,0
59,Hayır,Sık Seyahat,1225,Satış,1,1,Fen Bilimleri,1,91,1,Kadın,57,2,2,Satış Yöneticisi,3,Bekar,5473,24668,7,Hayır,11,3,4,80,0,20,2,2,4,3,1,3
29,Hayır,Seyrek Seyahat,1328,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,94,3,Erkek,76,3,1,Araştırma Bilimcisi,2,Evli,2703,4956,0,Hayır,23,4,4,80,1,6,3,3,5,4,0,4
31,Hayır,Seyrek Seyahat,1082,Araştırma ve Geliştirme,1,4,Tıp,1,95,3,Erkek,87,3,1,Araştırma Bilimcisi,2,Bekar,2501,18775,1,Hayır,17,3,2,80,0,1,4,3,1,1,1,0
32,Hayır,Seyrek Seyahat,548,Araştırma ve Geliştirme,1,3,Fen Bilimleri,1,96,2,Erkek,66,3,2,Araştırma Bilimcisi,2,Evli,6220,7346,1,Hayır,17,3,2,80,2,10,3,3,10,4,0,9
36,Hayır,Seyrek Seyahat,132,Araştırma ve Geliştirme,6,3,Fen Bilimleri,1,97,2,Kadın,55,4,1,Laboratuvar Teknikeri,4,Evli,3038,22002,3,Hayır,12,3,2,80,0,5,3,3,1,0,0,0
31,Hayır,Seyrek Seyahat,746,Araştırma ve Geliştirme,8,4,Fen Bilimleri,1,98,3,Kadın,61,3,2,Üretim Direktörü,4,Bekar,4424,20682,1,Hayır,23,4,4,80,0,11,2,3,11,7,1,8
35,Hayır,Seyrek Seyahat,776,Satış,1,4,Pazarlama,1,100,3,Erkek,32,2,2,Satış Yöneticisi,1,Bekar,4312,23016,0,Hayır,14,3,2,80,0,16,2,3,15,13,2,8
45,Hayır,Seyrek Seyahat,193,Araştırma ve Geliştirme,6,4,Diğer,1,101,4,Erkek,52,3,3,Araştırma Direktörü,1,Evli,13245,15067,4,Evet,14,3,2,80,0,17,3,4,0,0,0,0
37,Hayır,Seyrek Seyahat,397,Araştırma ve Geliştirme,7,4,Tıp,1,102,1,Erkek,30,3,3,Araştırma Direktörü,3,Bekar,13664,25258,4,Hayır,13,3,1,80,0,16,3,4,5,2,0,2
46,Hayır,Seyrek Seyahat,945,İnsan Kaynakları,5,2,Tıp,1,103,2,Erkek,80,3,2,İnsan Kaynakları,2,Boşanmış,5021,10425,8,Evet,22,4,4,80,1,16,2,3,4,2,0,2
30,Hayır,Seyrek Seyahat,852,Araştırma ve Geliştirme,1,1,Fen Bilimleri,1,104,4,Erkek,55,2,2,Laboratuvar Teknikeri,4,Evli,5126,15998,1,Evet,12,3,3,80,2,10,1,2,10,8,3,0
35,Hayır,Seyrek Seyahat,1214,Araştırma ve Geliştirme,1,3,Tıp,1,105,2,Erkek,30,2,1,Araştırma Bilimcisi,3,Bekar,2859,26278,1,Hayır,18,3,1,80,0,6,3,3,6,4,0,4
55,Hayır,Seyrek Seyahat,111,Satış,1,2,Fen Bilimleri,1,106,1,Erkek,70,3,3,Satış Yöneticisi,4,Evli,10239,18092,3,Hayır,14,3,4,80,1,24,4,3,1,0,1,0
38,Hayır,Seyahat Etmez,573,Araştırma ve Geliştirme,6,3,Tıp,1,107,2,Kadın,79,1,2,Araştırma Bilimcisi,4,Boşanmış,5329,15717,7,Evet,12,3,4,80,3,17,3,3,13,11,1,9
34,Hayır,Seyrek Seyahat,1153,Araştırma ve Geliştirme,1,2,Tıp,1,110,1,Erkek,94,3,2,Üretim Direktörü,2,Evli,4325,17736,1,Hayır,15,3,3,80,0,5,2,3,5,2,1,3
56,Hayır,Seyrek Seyahat,1400,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,112,4,Erkek,49,1,3,Üretim Direktörü,4,Bekar,7260,21698,4,Hayır,11,3,1,80,0,37,3,2,6,4,0,2
23,Hayır,Seyrek Seyahat,541,Satış,2,1,Mühendislik,1,113,3,Erkek,62,3,1,Satış Temsilcisi,1,Boşanmış,2322,9518,3,Hayır,13,3,3,80,1,3,3,3,0,0,0,0
51,Hayır,Seyrek Seyahat,432,Araştırma ve Geliştirme,9,4,Fen Bilimleri,1,116,4,Erkek,96,3,1,Laboratuvar Teknikeri,4,Evli,2075,18725,3,Hayır,23,4,2,80,2,10,4,3,4,2,0,3
30,Hayır,Seyrek Seyahat,288,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,117,3,Erkek,99,2,2,Sağlık Temsilcisi,4,Evli,4152,15830,1,Hayır,19,3,1,80,3,11,3,3,11,10,10,8
46,Evet,Seyrek Seyahat,669,Satış,9,2,Tıp,1,118,3,Erkek,64,2,3,Satış Yöneticisi,4,Bekar,9619,13596,1,Hayır,16,3,4,80,0,9,3,3,9,8,4,7
40,Hayır,Sık Seyahat,530,Araştırma ve Geliştirme,1,4,Fen Bilimleri,1,119,3,Erkek,78,2,4,Sağlık Temsilcisi,2,Evli,13503,14115,1,Hayır,22,4,4,80,1,22,3,2,22,3,11,11
51,Hayır,Seyrek Seyahat,632,Satış,21,4,Pazarlama,1,120,3,Erkek,71,3,2,Satış Yöneticisi,4,Bekar,5441,8423,0,Evet,22,4,4,80,0,11,2,1,10,7,1,0
30,Hayır,Seyrek Seyahat,1334,Satış,4,2,Tıp,1,121,3,Kadın,63,2,2,Satış Yöneticisi,2,Boşanmış,5209,19760,1,Evet,12,3,2,80,3,11,4,2,11,8,2,7
46,Hayır,Sık Seyahat,638,Araştırma ve Geliştirme,1,3,Tıp,1,124,3,Erkek,40,2,3,Sağlık Temsilcisi,1,Evli,10673,3142,2,Evet,13,3,3,80,1,21,5,2,10,9,9,5
32,Hayır,Seyrek Seyahat,1093,Satış,6,4,Tıp,1,125,2,Erkek,87,3,2,Satış Yöneticisi,3,Bekar,5010,24301,1,Hayır,16,3,1,80,0,12,0,3,11,8,5,7
54,Hayır,Seyrek Seyahat,1217,Araştırma ve Geliştirme,2,4,Mühendislik,1,126,1,Kadın,60,3,3,Araştırma Direktörü,3,Evli,13549,24001,9,Hayır,12,3,1,80,1,16,5,1,4,3,0,3
24,Hayır,Seyrek Seyahat,1353,Satış,3,2,Diğer,1,128,1,Kadın,33,3,2,Satış Yöneticisi,3,Evli,4999,17519,0,Hayır,21,4,1,80,1,4,2,2,3,2,0,2
28,Hayır,Seyahat Etmez,120,Satış,4,3,Tıp,1,129,2,Erkek,43,3,2,Satış Yöneticisi,3,Evli,4221,8863,1,Hayır,15,3,2,80,0,5,3,4,5,4,0,4
58,Hayır,Seyrek Seyahat,682,Satış,10,4,Tıp,1,131,4,Erkek,37,3,4,Satış Yöneticisi,3,Bekar,13872,24409,0,Hayır,13,3,3,80,0,38,1,2,37,10,1,8
44,Hayır,Seyahat Etmez,489,Araştırma ve Geliştirme,23,3,Tıp,1,132,2,Erkek,67,3,2,Laboratuvar Teknikeri,2,Evli,2042,25043,4,Hayır,12,3,3,80,1,17,3,4,3,2,1,2
37,Evet,Seyrek Seyahat,807,İnsan Kaynakları,6,4,İnsan Kaynakları,1,133,3,Erkek,63,3,1,İnsan Kaynakları,1,Boşanmış,2073,23648,4,Evet,22,4,4,80,0,7,3,3,3,2,0,2
32,Hayır,Seyrek Seyahat,827,Araştırma ve Geliştirme,1,1,Fen Bilimleri,1,134,4,Erkek,71,3,1,Araştırma Bilimcisi,1,Bekar,2956,15178,1,Hayır,13,3,4,80,0,1,2,3,1,0,0,0
20,Evet,Sık Seyahat,871,Araştırma ve Geliştirme,6,3,Fen Bilimleri,1,137,4,Kadın,66,2,1,Laboratuvar Teknikeri,4,Bekar,2926,19783,1,Evet,18,3,2,80,0,1,5,3,1,0,1,0
34,Hayır,Seyrek Seyahat,665,Araştırma ve Geliştirme,6,4,Diğer,1,138,1,Kadın,41,3,2,Araştırma Bilimcisi,3,Bekar,4809,12482,1,Hayır,14,3,3,80,0,16,3,3,16,13,2,10
37,Hayır,Seyahat Etmez,1040,Araştırma ve Geliştirme,2,2,Fen Bilimleri,1,139,3,Erkek,100,2,2,Sağlık Temsilcisi,4,Boşanmış,5163,15850,5,Hayır,14,3,4,80,1,17,2,4,1,0,0,0
59,Hayır,Seyahat Etmez,1420,İnsan Kaynakları,2,4,İnsan Kaynakları,1,140,3,Kadın,32,2,5,Yönetici,4,Evli,18844,21922,9,Hayır,21,4,4,80,1,30,3,3,3,2,2,2
50,Hayır,Sık Seyahat,1115,Araştırma ve Geliştirme,1,3,Fen Bilimleri,1,141,1,Kadın,73,3,5,Araştırma Direktörü,2,Evli,18172,9755,3,Evet,19,3,1,80,0,28,1,2,8,3,0,7
25,Evet,Seyrek Seyahat,240,Satış,5,3,Pazarlama,1,142,3,Erkek,46,2,2,Satış Yöneticisi,3,Bekar,5744,26959,1,Evet,11,3,4,80,0,6,1,3,6,4,0,3
25,Hayır,Seyrek Seyahat,1280,Araştırma ve Geliştirme,7,1,Tıp,1,143,4,Erkek,64,2,1,Araştırma Bilimcisi,4,Evli,2889,26897,1,Hayır,11,3,3,80,2,2,2,3,2,2,2,1
22,Hayır,Seyrek Seyahat,534,Araştırma ve Geliştirme,15,3,Tıp,1,144,2,Kadın,59,3,1,Laboratuvar Teknikeri,4,Bekar,2871,23785,1,Hayır,15,3,3,80,0,1,5,3,0,0,0,0
51,Hayır,Sık Seyahat,1456,Araştırma ve Geliştirme,1,4,Tıp,1,145,1,Kadın,30,2,3,Sağlık Temsilcisi,1,Bekar,7484,25796,3,Hayır,20,4,3,80,0,23,1,2,13,12,12,8
34,Evet,Sık Seyahat,658,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,147,1,Erkek,66,1,2,Laboratuvar Teknikeri,3,Bekar,6074,22887,1,Evet,24,4,4,80,0,9,3,3,9,7,0,6
54,Hayır,Seyahat Etmez,142,İnsan Kaynakları,26,3,İnsan Kaynakları,1,148,4,Kadın,30,4,4,Yönetici,4,Bekar,17328,13871,2,Evet,12,3,3,80,0,23,3,3,5,3,4,4
24,Hayır,Seyrek Seyahat,1127,Araştırma ve Geliştirme,18,1,Fen Bilimleri,1,150,2,Erkek,52,3,1,Laboratuvar Teknikeri,3,Evli,2774,13257,0,Hayır,12,3,3,80,1,6,2,3,5,3,1,2
